isin,rank,S,S_smooth,C_filing,cpr_cfg_initial,cdr_cfg_initial,seam_level,seam_slope,roughness,terminal,prepay,default,severity,lag_m,advancing,call,trigger,wac,wam_m,index_shift,first_ipd_rate_annual,wal_years,dm_bp_at_ref,last_cf_date,state_mode
XS0260784318,63,0.75518938,0.19577261,0.55941677,0.06,0.00015,-0.38346739,0.20572144,0.08002535,0.0,PSA 100,SDA 50,0.5,6,1,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.27289713,59.27587375,2059-07-21,pool
XS0260784318,64,0.75518938,0.19577261,0.55941677,0.06,0.00015,-0.38346739,0.20572144,0.08002535,0.0,PSA 100,SDA 50,0.5,6,1,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.27289713,59.27587375,2059-07-21,pool
XS0260784318,65,0.75527063,0.19585386,0.55941677,0.06,0.00015,-0.38346739,0.20591068,0.08004633,0.0,CPR 0.06,SDA 50,0.2,6,0,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.27254138,59.2773061,2059-07-21,pool
XS0260784318,66,0.75527063,0.19585386,0.55941677,0.06,0.00015,-0.38346739,0.20591068,0.08004633,0.0,CPR 0.06,SDA 50,0.2,6,0,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.27254138,59.2773061,2059-07-21,pool
XS0260784318,67,0.75527063,0.19585386,0.55941677,0.06,0.00015,-0.38346739,0.20591068,0.08004633,0.0,CPR 0.06,SDA 50,0.35,6,0,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.27255094,59.27727235,2059-07-21,pool
XS0260784318,68,0.75527063,0.19585386,0.55941677,0.06,0.00015,-0.38346739,0.20591068,0.08004633,0.0,CPR 0.06,SDA 50,0.35,6,0,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.27255094,59.27727235,2059-07-21,pool
XS0260784318,69,0.75527063,0.19585386,0.55941677,0.06,0.00015,-0.38346739,0.20591068,0.08004633,0.0,CPR 0.06,SDA 50,0.5,6,0,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.2725605,59.2772386,2059-07-21,pool
XS0260784318,70,0.75527063,0.19585386,0.55941677,0.06,0.00015,-0.38346739,0.20591068,0.08004633,0.0,CPR 0.06,SDA 50,0.5,6,0,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.2725605,59.2772386,2059-07-21,pool
XS0260784318,71,0.75527063,0.19585386,0.55941677,0.06,0.00015,-0.38346739,0.20591068,0.08004633,0.0,PSA 100,SDA 50,0.2,6,0,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.27254138,59.2773061,2059-07-21,pool
XS0260784318,72,0.75527063,0.19585386,0.55941677,0.06,0.00015,-0.38346739,0.20591068,0.08004633,0.0,PSA 100,SDA 50,0.2,6,0,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.27254138,59.2773061,2059-07-21,pool
XS0260784318,73,0.75527063,0.19585386,0.55941677,0.06,0.00015,-0.38346739,0.20591068,0.08004633,0.0,PSA 100,SDA 50,0.35,6,0,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.27255094,59.27727235,2059-07-21,pool
XS0260784318,74,0.75527063,0.19585386,0.55941677,0.06,0.00015,-0.38346739,0.20591068,0.08004633,0.0,PSA 100,SDA 50,0.35,6,0,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.27255094,59.27727235,2059-07-21,pool
